Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional\
470,Noah Vonleh,C,27,BOS,23,1,171,11,24,0.458,1,4,0.25,10,20,0.5,0.479,2,2,1,18,30,48,7,2,8,11,35,25,vonleno01\
471,Nikola Vu\uc0\u269 evi\u263 ,C,32,CHI,65,65,2199,470,917,0.513,103,297,0.347,367,620,0.592,0.569,100,123,0.813,130,601,731,214,46,52,112,145,1143,vucevni01\
472,Dean Wade,PF,26,CLE,37,9,752,62,148,0.419,38,105,0.362,24,43,0.558,0.547,15,23,0.652,16,114,130,32,24,17,14,78,177,wadede01\
473,Franz Wagner,SF,21,ORL,65,65,2139,443,909,0.487,110,297,0.37,333,612,0.544,0.548,225,269,0.836,56,195,251,225,58,13,137,148,1221,wagnefr01\
474,Moritz Wagner,C,25,ORL,45,16,941,167,335,0.499,45,144,0.313,122,191,0.639,0.566,126,149,0.846,59,154,213,74,34,10,56,122,505,wagnemo01\
475,Ish Wainright,SF,28,PHO,47,1,708,69,175,0.394,47,131,0.359,22,44,0.5,0.529,21,25,0.84,36,59,95,45,36,15,19,95,206,wainris01\
476,Jabari Walker,SF,20,POR,42,0,373,43,98,0.439,5,26,0.192,38,72,0.528,0.464,21,29,0.724,33,50,83,21,4,9,14,41,112,walkeja01\
477,Kemba Walker,PG,32,DAL,9,1,144,24,57,0.421,7,28,0.25,17,29,0.586,0.482,17,21,0.81,3,13,16,19,2,2,4,11,72,walkeke02\
478,Lonnie Walker IV,SG,24,LAL,49,32,1235,224,501,0.447,85,233,0.365,139,268,0.519,0.532,87,100,0.87,13,90,103,63,27,15,46,68,620,walkelo01\
479,John Wall,PG,32,LAC,34,3,755,138,338,0.408,33,109,0.303,105,229,0.459,0.457,77,113,0.681,14,78,92,178,27,12,80,59,386,walljo01\
480,T.J. Warren,PF-SF,29,TOT,30,0,521,106,211,0.502,17,50,0.34,89,161,0.553,0.543,27,33,0.818,16,65,81,29,17,8,18,47,256,warretj01\
480,T.J. Warren,PF,29,BRK,26,0,490,102,200,0.51,16,48,0.333,86,152,0.566,0.55,27,33,0.818,13,59,72,29,15,7,17,45,247,warretj01\
